
2015-12-25 09:54:02 - INFO - 启动监控程序（PID 1353）
2015-12-25 09:54:03 - INFO - Ceph OSD全部正常！
2015-12-25 09:54:33 - INFO - Ceph OSD全部正常！
2015-12-25 09:55:03 - INFO - Ceph OSD全部正常！
2015-12-25 09:55:33 - INFO - Ceph OSD全部正常！
2015-12-25 09:56:03 - INFO - Ceph OSD全部正常！
2015-12-25 09:56:33 - INFO - Ceph OSD全部正常！
2015-12-25 09:57:03 - INFO - Ceph OSD全部正常！
2015-12-25 09:57:33 - INFO - Ceph OSD全部正常！
2015-12-25 09:58:03 - INFO - Ceph OSD全部正常！
2015-12-25 09:58:33 - INFO - Ceph OSD全部正常！
2015-12-25 09:59:04 - INFO - Ceph OSD全部正常！
2015-12-25 09:59:34 - INFO - Ceph OSD全部正常！
2015-12-25 10:00:04 - INFO - Ceph OSD全部正常！
2015-12-25 10:00:34 - INFO - Ceph OSD全部正常！
2015-12-25 10:01:04 - INFO - Ceph OSD全部正常！
2015-12-25 10:01:34 - INFO - Ceph OSD全部正常！
2015-12-25 10:02:04 - INFO - Ceph OSD全部正常！
2015-12-25 10:02:34 - INFO - Ceph OSD全部正常！
2015-12-25 10:03:04 - INFO - Ceph OSD全部正常！
2015-12-25 10:03:34 - INFO - Ceph OSD全部正常！
2015-12-25 10:04:04 - INFO - Ceph OSD全部正常！
2015-12-25 10:04:34 - INFO - Ceph OSD全部正常！
2015-12-25 10:05:04 - INFO - Ceph OSD全部正常！
2015-12-25 10:05:34 - INFO - Ceph OSD全部正常！
2015-12-25 10:06:04 - INFO - Ceph OSD全部正常！
2015-12-25 10:06:34 - INFO - Ceph OSD全部正常！
2015-12-25 10:07:04 - INFO - Ceph OSD全部正常！
2015-12-25 10:07:34 - INFO - Ceph OSD全部正常！
2015-12-25 10:08:04 - INFO - Ceph OSD全部正常！
2015-12-25 10:08:34 - INFO - Ceph OSD全部正常！
2015-12-25 10:09:04 - INFO - Ceph OSD全部正常！
2015-12-25 10:09:34 - INFO - Ceph OSD全部正常！
2015-12-25 10:10:04 - INFO - Ceph OSD全部正常！
2015-12-25 10:10:34 - INFO - Ceph OSD全部正常！
2015-12-25 10:11:04 - INFO - Ceph OSD全部正常！
2015-12-25 10:11:35 - INFO - Ceph OSD全部正常！
2015-12-25 10:12:05 - INFO - Ceph OSD全部正常！
2015-12-25 10:12:35 - INFO - Ceph OSD全部正常！
2015-12-25 10:13:05 - INFO - Ceph OSD全部正常！
2015-12-25 10:13:35 - INFO - Ceph OSD全部正常！
2015-12-25 10:14:05 - INFO - Ceph OSD全部正常！
